20220506	20:51:04 	 c4f60112-e47b-40db-b881-05338a664cb0 	 GET 	 undefined 	/states/KS
20220506	20:51:12 	 29e4233a-4aff-4edf-b03f-6c0f27c2b132 	 GET 	 undefined 	/states/KS
20220506	20:52:38 	 f4da11e7-d1cc-49e4-aea0-985e17edda07 	 GET 	 undefined 	/states/KS
20220506	20:52:51 	 b3b9683d-2be2-4a8c-9aba-5f5953164534 	 GET 	 undefined 	/states/KS
20220506	20:53:29 	 e61a9875-aed0-45a2-abbe-2944f46c57f2 	 GET 	 undefined 	/states/KS
20220506	20:54:00 	 ec05709a-46cf-49b3-a03d-56816112f46f 	 GET 	 undefined 	/states/KS
20220506	20:55:41 	 73d71e2c-5a90-46dd-894e-f74457b817d2 	 GET 	 undefined 	/states/KS
20220506	20:55:52 	 a931ded9-e6cc-4030-864d-d5e473ff1953 	 GET 	 undefined 	/states/KS
20220506	20:56:17 	 0e5a71f9-f4e4-45d5-9c76-c0cf687260a0 	 GET 	 undefined 	/states/KS
20220506	20:56:31 	 da7f7e18-1cb4-4e32-a44a-717d04ab58df 	 GET 	 undefined 	/states/HI
20220506	20:56:48 	 776d6b1c-6a22-42ce-b679-4bd5c2693339 	 GET 	 undefined 	/states/AK
20220506	20:57:01 	 b971c40e-cb57-4473-b919-d0ba5555e055 	 GET 	 undefined 	/states/WY
20220506	20:58:18 	 720f7fc5-161c-42e0-8f77-bb6f1f08eed2 	 GET 	 undefined 	/states/MO
20220506	21:09:46 	 c2ab623c-d59d-4e11-be9b-19a7086b4130 	 GET 	 undefined 	/states/?contig=true
20220506	21:11:01 	 a6623b29-4831-4403-b458-0735d7cab6dc 	 GET 	 undefined 	/states/?contig=true
20220506	21:11:38 	 a0722c88-34de-4d31-b1b7-f97926ecfde4 	 GET 	 undefined 	/states/?contig=true
20220506	21:12:53 	 f074e5ec-9d85-43a2-a906-6325788f1247 	 GET 	 undefined 	/states
20220506	21:13:01 	 3f273078-fde6-4241-9040-48a29d6dd85e 	 GET 	 undefined 	/states
20220506	21:15:06 	 5043ffce-b297-468e-a35f-49dbe9b492b4 	 GET 	 undefined 	/states
20220506	21:15:28 	 294e8722-66f3-43bc-a6fb-0cee1d1e2189 	 GET 	 undefined 	/states
20220506	21:16:17 	 7f4a7443-6549-4e34-85be-5d6a12a393a4 	 GET 	 undefined 	/states
20220506	21:16:58 	 9bab6a95-d963-4dcb-9b06-8a3c979dfbbc 	 GET 	 undefined 	/stateslocalhost:3000/states/?contig=true
20220506	21:17:10 	 c60badc5-9a6f-44bb-896c-ff496427a344 	 GET 	 undefined 	/states/?contig=true
20220506	21:23:06 	 6755d330-e3f3-4c1e-b3a7-78704a04d6c9 	 GET 	 undefined 	/states/?contig=true
20220506	21:24:08 	 a6fa6c68-2415-4fbd-9267-e3bbd451f6d3 	 GET 	 undefined 	/states/?contig=false
20220506	21:26:16 	 c81f9cc8-5651-48ae-ac14-751927590a9f 	 GET 	 undefined 	/states/?contig=false
20220506	21:26:33 	 f0dac94f-0024-4d15-bee3-e8b255b4298a 	 GET 	 undefined 	/states/?contig=false
20220506	21:26:45 	 82eca93f-81ef-4395-b82e-35c305528e9a 	 GET 	 undefined 	/states/?contig=true%20
